region;country;pop;debut;1st Death;1stD_elapse;WeekFirst.Death;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
South America;Brazil;212560000;26-Feb;17-Mar;20;2;;;4;56;241;800;1736;2906;;;;;;;;
South America;Chile;19117000;03-Mar;21-Mar;18;2;;;2;12;43;92;147;;;;;;;;;
South America;Colombia;50883000;06-Mar;22-Mar;16;2;;1;11;31;80;153;225;;;;;;;;;
South America;Ecuador;17643000;29-Feb;14-Mar;14;2;;1;7;48;172;315;456;576;;;;;;;;
South America;Peru;32972000;06-Mar;19-Mar;13;1;;4;18;75;169;300;634;;;;;;;;;
Asia;Japan;126476000;20-Jan;13-Feb;24;3;;;;1;1;6;9;28;42;54;85;143;236;;;
Asia;S_Korea;51269000;20-Jan;20-Feb;31;4;;;;;8;26;53;75;111;158;186;217;236;;;
Asia;China;1439323000;31-Dec;11-Jan;11;1;;5;17;132;490;1113;2004;2715;2981;3158;3237;3281;3312;3331;3341;4632
Europe;Spain;46754000;01-Feb;03-Mar;31;4;;;;;2;143;1347;5579;11289;15997;20097;22902;;;;
North America;United States;331003000;20-Jan;01-Mar;41;5;;;;;1;17;64;414;2474;9606;21981;40574;55376;;;
